Image				Compared with		Change Score		Contours		Status

c23-1616689120916.png         c23-1616689078329.png         0.0                 0              Current Image removed
c23-1616689163591.png         c23-1616689078329.png         0.0                 0              Current Image removed
c23-1616689206068.png         c23-1616689078329.png         0.0                 0              Current Image removed
c23-1616689248543.png         c23-1616689078329.png         0.0                 0              Current Image removed
c23-1616689392406.png         c23-1616689078329.png         0.0                 0              Current Image removed
c23-1616689734969.png         c23-1616689078329.png         0.0                 0              Current Image removed
c23-1616690077367.png         c23-1616689078329.png         3775.5              1              Current Image Retained
c23-1616690419647.png         c23-1616690077367.png         0.0                 0              Current Image removed
c23-1616690762047.png         c23-1616690077367.png         0.0                 0              Current Image removed
c23-1616691104851.png         c23-1616690077367.png         0.0                 0              Current Image removed
c23-1616691447373.png         c23-1616690077367.png         1530.5              2              Current Image Retained
c23-1616691789971.png         c23-1616691447373.png         0.0                 0              Current Image removed
c23-1616692132577.png         c23-1616691447373.png         0.0                 0              Current Image removed
c23-1616692474975.png         c23-1616691447373.png         0.0                 0              Current Image removed
c23-1616692817457.png         c23-1616691447373.png         0.0                 0              Current Image removed
c23-1616693159859.png         c23-1616691447373.png         5571.5              1              Current Image Retained
c23-1616693502261.png         c23-1616693159859.png         0.0                 0              Current Image removed
c23-1616693844587.png         c23-1616693159859.png         120176.5            6              Current Image Retained
c23-1616694187388.png         c23-1616693844587.png         0.0                 0              Current Image removed
c23-1616694529994.png         c23-1616693844587.png         8439.5              6              Current Image Retained
c23-1616694872510.png         c23-1616694529994.png         0.0                 0              Current Image removed
c23-1616695214951.png         c23-1616694529994.png         5791.0              6              Current Image Retained
c23-1616695557277.png         c23-1616695214951.png         8292.0              2              Current Image Retained
c23-1616695899479.png         c23-1616695557277.png         8351.5              2              Current Image Retained
c23-1616696241920.png         c23-1616695899479.png         0.0                 0              Current Image removed
c23-1616696584520.png         c23-1616695899479.png         0.0                 0              Current Image removed
c23-1616696927083.png         c23-1616695899479.png         0.0                 0              Current Image removed
c23-1616697269599.png         c23-1616695899479.png         0.0                 0              Current Image removed
c23-1616697612042.png         c23-1616695899479.png         0.0                 0              Current Image removed
c23-1616697954482.png         c23-1616695899479.png         0.0                 0              Current Image removed
c23-1616698296964.png         c23-1616695899479.png         0.0                 0              Current Image removed
c23-1616698639412.png         c23-1616695899479.png         0.0                 0              Current Image removed
c23-1616698981729.png         c23-1616695899479.png         0.0                 0              Current Image removed
c23-1616699324009.png         c23-1616695899479.png         0.0                 0              Current Image removed
c23-1616699666493.png         c23-1616695899479.png         0.0                 0              Current Image removed
c23-1616700009093.png         c23-1616695899479.png         0.0                 0              Current Image removed
c23-1616700351574.png         c23-1616695899479.png         0.0                 0              Current Image removed
c23-1616700693937.png         c23-1616695899479.png         0.0                 0              Current Image removed
c23-1616701036262.png         c23-1616695899479.png         0.0                 0              Current Image removed
c23-1616701378864.png         c23-1616695899479.png         0.0                 0              Current Image removed
c23-1616701721263.png         c23-1616695899479.png         0.0                 0              Current Image removed
c23-1616702063501.png         c23-1616695899479.png         0.0                 0              Current Image removed
c23-1616702405906.png         c23-1616695899479.png         0.0                 0              Current Image removed
c23-1616702748470.png         c23-1616695899479.png         0.0                 0              Current Image removed
c23-1616703091109.png         c23-1616695899479.png         0.0                 0              Current Image removed
c23-1616703433669.png         c23-1616695899479.png         0.0                 0              Current Image removed
c23-1616703776233.png         c23-1616695899479.png         0.0                 0              Current Image removed
c23-1616704118786.png         c23-1616695899479.png         4091.5              1              Current Image Retained
c23-1616704460947.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616704802950.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616705145110.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616705487111.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616705829193.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616706171160.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616706513398.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616706855323.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616707197447.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616707539404.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616707881367.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616708223326.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616708565248.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616708907288.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616709249289.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616709591253.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616709933374.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616710275420.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616710617419.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616710959782.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616711302260.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616711644423.png         c23-1616704118786.png         0.0                 0              Current Image removed
